question_id,image_width,image_height,image_tokens,multimodal_input_tokens,text_only_input_tokens,multimodal_processor_ms,text_only_processor_ms,multimodal_transfer_ms,text_only_transfer_ms,multimodal_forward_ms,text_only_forward_ms,vision_encoder_ms,multimodal_language_model_ms,text_only_language_model_ms,multimodal_other_ms,text_only_other_ms,visual_path_delta_ms,language_model_visual_token_delta_ms,multimodal_decode_ms,text_only_decode_ms,decode_visual_cache_delta_ms,multimodal_decode_ms_per_token,text_only_decode_ms_per_token
403,331,350,110,203,91,8.976375014754012,3.465542016783729,7.464124995749444,3.0196250008884817,1364.5004169957247,339.4550840021111,664.288583007874,634.2958340246696,322.4757080024574,65.9159999631811,16.979375999653712,1025.0453329936136,311.8201260222122,0.0,0.0,0.0,0.0,0.0
404,512,380,192,297,103,8.08574998518452,2.7969579969067127,2.9027090058661997,2.071958006126806,2090.488459012704,351.0076249949634,1143.9826250134502,871.1097089981195,333.9804169954732,75.39612500113435,17.0272079994902,1739.4808340177406,537.1292920026463,0.0,0.0,0.0,0.0,0.0
407,512,268,128,225,95,7.091292005497962,3.698499989695847,2.8833750111516565,1.7502080008853227,1405.6582500052173,373.25487498310395,701.3287089939695,637.5465420132969,345.90962500078604,66.78299899795093,27.34524998231791,1032.4033750221133,291.6369170125108,0.0,0.0,0.0,0.0,0.0
410,353,206,66,150,82,6.022874993504956,2.0864999969489872,2.808874996844679,1.6640409885440022,936.6060419997666,330.63612499972805,381.47374999243766,492.1932500146795,313.8539170031436,62.939041992649436,16.782207996584475,605.9699170000385,178.33933301153593,0.0,0.0,0.0,0.0,0.0
419,512,310,160,258,96,9.211500000674278,3.8438329938799143,6.720417004544288,1.7679590091574937,1870.0558749842457,382.72491600946523,960.2132920117583,836.4459580043331,357.5636250025127,73.39662496815436,25.161291006952524,1487.3309589747805,478.88233300182037,0.0,0.0,0.0,0.0,0.0
426,252,192,70,150,78,5.014624999603257,2.9434589960146695,2.8473749989643693,1.4565419987775385,955.6160000211094,329.77445801952854,409.5075000077486,503.8602079730481,303.4540830121841,42.24829204031266,26.32037500734441,625.8415420015808,200.40612496086396,0.0,0.0,0.0,0.0,0.0
428,252,192,70,152,80,6.529791979119182,3.540167002938688,2.716417016927153,2.0880420051980764,1027.9134169977624,339.4802500260994,442.1112080162857,525.8053750148974,321.9004580168985,59.99683396657929,17.5797920092009,688.433166971663,203.90491699799895,0.0,0.0,0.0,0.0,0.0
442,252,192,70,222,150,7.103666983311996,4.222082992782816,2.7362079999875277,0.9851250215433538,1238.3516249828972,506.7368329910096,424.46216600365005,744.9606670124922,487.959582998883,68.92879196675494,18.7772499921266,731.6147919918876,257.0010840136092,0.0,0.0,0.0,0.0,0.0
448,400,267,96,313,215,9.963749995222315,5.342999997083098,5.207999987760559,3.736500017112121,1698.2455420074984,716.2761669897009,627.4807910085656,993.2501669973135,687.8328330058139,77.51458400161937,28.443333983886987,981.9693750177976,305.4173339914996,0.0,0.0,0.0,0.0,0.0
449,400,267,96,282,184,8.61329201143235,4.131709021748975,2.3217500129248947,1.8892079824581742,1644.6569580002688,604.3939579976723,593.0492919869721,957.7552079863381,577.4199159932323,93.85245802695863,26.97404200443998,1040.2630000025965,380.3352919931058,0.0,0.0,0.0,0.0,0.0
